Problem Size,Sequential,Sequential Error,Map Reduce,Map Reduce Error,Parallel Foreach,Parallel Foreach Error, Tasks, Tasks Error
2,2378.49,22774.0223001976,38294.49,377769.533443937,162839.95,1464896.50966448,104203.92,870474.836277875
4,1280.8,16141.0541570245,19309.825,267797.189404975,83744.985,1038856.27013006,53905.36,617576.486687584
8,1010.23333333333,13184.6732468255,13099.5133333333,218831.812482318,58297.7366666667,849063.465521191,37369.87,504794.379133134
16,1148.205,11420.7847001848,10317.11,189575.1808729,46150.4025,735613.135280139,29584.14,437373.365644503
32,2159.086,10413.2651109344,9742.128,169565.114160843,40039.356,658084.813818432,28447.066,391209.028289642
64,5694.21,12365.9199971494,12708.69,154935.302298284,37545.3733333333,600827.856214102,31236.0516666667,357179.459908586
128,17818.2585714286,31834.9968317483,25867.2685714286,147028.159066843,39236.2357142857,556306.44448508,34260.6142857143,330882.076199875
256,60229.47,116109.535117542,73510.28125,186572.633299544,52013.26,521502.933891078,42860.41125,311543.373477466
512,211360.784444444,441277.489496482,244154.705555556,513765.540240761,102035.173333333,511740.182545921,73140.8366666667,382913.105145772
1024,759396.493,1696661.88955312,864011.262,1922583.17869807,278204.013,717736.132733859,215843.801,1816614.75906973
2048,2753554.80545455,6510668.16605228,3123720.84909091,7377973.68961998,895174.58,2069802.36960077,434594.373636364,2804934.50035668
4096,10088990.2016667,25115832.1014365,11444174.3716667,28498296.1983817,3100880.26333333,7580594.57291944,723178.953333333,3114139.64759138
