Problem Size,Sequential,Sequential Error,Async Workflow,Async Workflow Error,Task,Task Error,Lenient,Lenient Error
2,1032.280000,9476.905860,247846.000000,NaN,5112.320000,19916.674897,12467.170000,21718.596749
4,554.705000,6718.201422,151338.000000,96507.999995,10703.550000,48110.946461,19550.945000,21972.325376
8,412.583333,5489.109210,147815.000000,78955.804724,76171.016667,1133845.588149,23326.730000,23269.963120
16,369.132500,4754.469703,143605.750000,68765.308704,66538.885000,987469.874051,29439.717500,31096.015811
32,383.138000,4252.969709,164117.600000,73931.577194,65046.744000,888202.782343,37265.706000,43307.286087
64,491.005000,3931.878759,165631.500000,67574.831764,78409.130000,838544.665788,51663.573333,70948.141725
128,687.667143,3729.926269,180105.714286,71909.932011,97644.334286,833328.486352,80560.167143,151192.763578
256,1069.488750,3695.556433,188996.875000,71260.281387,121278.316250,804001.317115,150056.371250,313494.446168
512,1824.402222,4178.827251,229680.000000,133246.897454,132464.595556,759952.002467,274021.635556,551056.258757
1024,3401.345000,6279.294726,271023.100000,177094.690410,160941.610000,732841.683694,575748.787000,1191331.181408
2048,6545.690000,11820.041508,901613.090909,2001236.806748,217156.591818,731848.688075,1281090.381818,2550933.302515
4096,13085.145833,24653.651203,2257977.333333,4889597.791880,327581.528333,805445.632817,3890092.865000,9181801.437035
8192,25511.606923,49412.696805,6282045.153846,14710082.893020,544344.347692,1082627.585533,11017237.516923,26318390.917472
16384,49178.631429,98270.802827,14544052.857143,32989701.183002,983685.145714,1904403.212414,27876665.213571,65971024.747964
32768,99227.355333,210595.893015,39989629.000000,100401436.868477,1774265.706000,3501598.766828,72956850.650667,180441629.327791
65536,182881.904375,384612.068574,101915845.562500,258791933.720143,3308540.571250,6851290.442699,172894166.851250,425391627.868654
