Work Bias (iterations),Sequential,Fork Join,Lenient
134217728,3058436945,872926363,873033019
67108864,1530173417,426412796,415938590
33554432,771599610,210434362,216082450
16777216,386787562,105449787,108710585
8388608,194641502,55781112,54199967
4194304,97761683,26744545,26893256
2097152,50518610,15131041,13865041
1048576,27941543,7291201,7040451
524288,12235827,4016533,3908228
262144,6603677,1992712,2392992
131072,3173142,987560,926022
65536,1605319,779649,584672
32768,1531005,565053,347192
16384,448768,225987,203660
8192,345917,162885,167970
4096,188516,140492,122813
2048,110511,147211,113477
